site,tag,species,dbh,height,canopy_ht,brooms,rot,Dead / Alive_v1,Dead / Alive_v2,Dead / Alive_v3,Dead / Alive_v4,Inf Location_v1,Inf Location_v2,Inf Location_v3,Inf Location_v4,Gouting_v1,Gouting_v2,Gouting_v3,Gouting_v4,Beetle_v1,Beetle_v2,Beetle_v3,Beetle_v4,NL_v1,NL_v2,NL_v3,NL_v4,NLW_v1,NLW_v2,NLW_v3,NLW_v4,NM_v1,NM_v2,NM_v3,NM_v4,NMW_v1,NMW_v2,NMW_v3,NMW_v4,NH_v1,NH_v2,NH_v3,NH_v4,NHW_v1,NHW_v2,NHW_v3,NHW_v4,SL_v1,SL_v2,SL_v3,SL_v4,SLW_v1,SLW_v2,SLW_v3,SLW_v4,SM_v1,SM_v2,SM_v3,SM_v4,SMW_v1,SMW_v2,SMW_v3,SMW_v4,SH_v1,SH_v2,SH_v3,SH_v4,SHW_v1,SHW_v2,SHW_v3,SHW_v4,Notes_v1,Notes_v2,Notes_v3,Notes_v4,WSB_v1,WSB_v2,WSB_v3,WSB_v4,infested_v1,infested_v2,infested_v3,infested_v4,new_infestation,tag_ID,unique_ID,Number,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset,distance,tagID
CXSP,932,ABLA,1.2,7.7,0,0,0,1,1,1,1,BO,BO,BO,BO,1,2,2,2,0,0,0,0,0,0,1,2,0,0,0,,1,1,1,2,0,0,0,,0,0,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,0,2,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,1,1,1,1,0,ABLA932,CXSPABLA932,2982,,Point,41.64152027,-111.4922947,2243.431,-16.903,0.061821461,CXSPABLA932
CXSP,933,ABLA,,5.1,0,0,0,1,1,1,1,0,0,BO,BO,2,2,1,2,0,0,0,0,0,0,0,2,0,0,0,,0,0,1,2,0,0,0,,0,0,0,0,0,0,0,,0,0,0,2,0,0,0,,0,0,0,2,0,0,0,,0,0,0,1,0,0,0,,,,,,,,,,0,0,1,1,1,ABLA933,CXSPABLA933,2983,,Point,41.64152277,-111.4922973,2242.925,-16.903,0.06212685,CXSPABLA933
CXSP,934,ABLA,1.6,10.4,0.8,0,0,1,1,1,1,BO,BO,BO,BO,1,2,2,2,0,0,0,0,0,1,1,2,0,0,0,1-3,2,2,2,2,0,4-0,0,1-2,0,1,1,2,0,0,0,,0,0,0,1,0,0,0,,1,1,1,2,0,0,0,,0,0,1,2,0,0,0,,,,,,,,,,1,1,1,1,0,ABLA934,CXSPABLA934,2984,,Point,41.64152159,-111.4922968,2244.765,-16.903,0.062038555,CXSPABLA934
CXSP,935,ABLA,4.7,32.7,6.1,0,0,1,1,1,1,"BR, BO","BR, BO","BR, BO","BR, BO",1,1,0,1,0,0,0,0,2,2,2,2,3-1,3-1,3–1,3-1,2,2,2,2,4-1,4-2,4–1,4-1,2,2,2,2,2-1,2-1,2–1,2-0,2,2,2,2,3-1,3-1,3–1,,2,2,2,2,4-3,4-0,4–0,4-0,2,2,2,2,4-2,4-2,4–1,4-1,,,,,,,,,1,1,1,1,0,ABLA935,CXSPABLA935,2985,,Point,41.6415047,-111.4923197,2249.489,-16.903,0.063135022,CXSPABLA935
CXSP,936,ABLA,2.8,28,11.8,0,0,1,1,1,1,BO,BO,BO,BO,,,,,0,0,0,0,1,2,2,2,0,4-0,4–0,4-0,2,2,2,2,0,0,0,,1,1,0,1,0,0,0,,0,2,2,2,0,0,0,,0,1,2,2,0,0,0,,0,1,1,1,0,0,0,,,,,,,,,,1,1,1,1,0,ABLA936,CXSPABLA936,2986,,Point,41.64151898,-111.4922777,2246.582,-16.903,0.060460807,CXSPABLA936
CXSP,937,ABLA,5.4,34.8,6.8,0,0,1,1,1,1,"BR, BO","BR, BO","BR, BO","BR, BO",1,1,0,0,0,0,0,0,2,2,2,2,3-4,3-6,3–4,3-5,2,2,2,2,4-7,4-7,4–5,4-7,2,2,2,2,1-6,1-5,1–3,1-3,2,3,3,3,,4-4,4–4,,2,2,2,2,1-3,1-1,0,,2,2,2,2,1-6,1-4,1–2,1-2,,,,,,,,,1,1,1,1,0,ABLA937,CXSPABLA937,2987,,Point,41.64152474,-111.4922931,2247.259,-16.903,0.061888464,CXSPABLA937
CXSP,938,ABLA,4.6,33.4,8.8,0,0,1,1,1,1,BO,BO,BO,BO,1,1,1,1,0,0,0,0,1,2,2,2,0,3-2,3–2,3-2,2,2,2,2,0,0,0,,1,0,0,2,0,0,0,,1,2,1,2,0,0,0,,2,2,2,2,0,0,0,,2,1,1,2,2-0,0,0,,,,,,,,,,1,1,1,1,0,ABLA938,CXSPABLA938,2988,,Point,41.64153892,-111.4922671,2238.638,-16.903,0.060546796,CXSPABLA938
CXSP,939,ABLA,1.1,8.2,2.5,0,0,1,1,1,1,BO,"BR, BO","BR, BO","BR, BO",1,0,1,1,BIB,BIB,BIB,BIB,0,0,0,2,0,0,0,,0,1,1,2,0,0,0,,0,1,1,2,0,0,0,,1,1,0,1,0,0,0,,2,1,0,2,0,0,0,,0,0,1,2,0,0,0,,,,,,,,,,1,1,1,1,0,ABLA939,CXSPABLA939,2989,,Point,41.64154124,-111.4923357,2249.714,-16.903,0.065863027,CXSPABLA939
CXSP,940,ABLA,24.5,72.3,12.5,0,0,1,1,1,1,BO,BO,BO,BO,,,,,0,0,0,0,0,0,0,2,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,2,2,2,2,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,1,1,1,1,0,ABLA940,CXSPABLA940,2990,,Point,41.64151656,-111.4922739,2246.034,-16.903,0.060066001,CXSPABLA940
CXSP,941,ABLA,6.8,41.9,8.2,0,0,1,1,1,1,BO,BO,BO,BO,,,,,BIB,BIB,BIB,BIB,2,2,2,2,1-4,1-2,1–1,1-2,2,2,2,2,4-8,4-4,4–4,4-4,2,2,2,2,4-1,4-2,4–2,4-3,2,2,2,2,1-4,0,0,,2,2,2,2,2-1,2-1,2–1,2-1,2,2,2,2,,1-1,1–0,1-0,,,,,,,,,1,1,1,1,0,ABLA941,CXSPABLA941,,,,41.64149339,-111.4922406,2242.14,-16.903,0.056539438,CXSPABLA941
