Number,Name,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset
,194,,,41.87062189,-111.5147006,2607.035,-16.933
3649,193,,Point,41.87064197,-111.5147223,2611.364,-16.933
3648,192,,Point,41.87068119,-111.5147322,2609.722,-16.933
3647,191,,Point,41.87069467,-111.5147636,2608.616,-16.933
3646,190,,Point,41.87068376,-111.5148148,2614.697,-16.933
3645,189,,Point,41.87066581,-111.5147791,2620.356,-16.933
3644,188,,Point,41.87072411,-111.5148294,2611.509,-16.933
3643,187,,Point,41.87066365,-111.5147729,2609.487,-16.933
3642,186,,Point,41.8707209,-111.5148186,2614.951,-16.933
3641,185,,Point,41.8707357,-111.5148224,2612.123,-16.933
3640,184,,Point,41.87070101,-111.5147696,2609.834,-16.933
3639,183,,Point,41.8707541,-111.5147373,2612.562,-16.933
3638,182,,Point,41.8707306,-111.5147328,2609.424,-16.933
3637,181,,Point,41.87076429,-111.5148327,2606.999,-16.933
3635,180,,Point,41.87075402,-111.5148218,2607.164,-16.933
,179,,,41.87075402,-111.5148218,2607.164,-16.933
3634,178,,Point,41.87077808,-111.5148062,2615.75,-16.933
3633,177,,Point,41.87079204,-111.5147663,2614.226,-16.933
3632,176,,Point,41.87074117,-111.5146828,2604.767,-16.933
3631,175,,Point,41.87076883,-111.5146624,2609.451,-16.933
3630,174,,Point,41.87077892,-111.514716,2612.51,-16.933
3629,173,,Point,41.8708246,-111.5147338,2612.155,-16.933
,172,,,41.8708246,-111.5147338,2612.155,-16.933
3628,171,,Point,41.87080321,-111.5147104,2614.256,-16.933
3627,170,,Point,41.87082468,-111.5147607,2615.242,-16.933
3626,169,,Point,41.87081195,-111.5147757,2613.661,-16.933
3625,168,,Point,41.87084096,-111.5147898,2612.917,-16.933
3624,167,,Point,41.87079923,-111.5147709,2605.433,-16.933
3623,166,,Point,41.87082316,-111.5148084,2599.534,-16.933
3622,165,,Point,41.87083224,-111.5148274,2602.664,-16.933
3621,164,,Point,41.87085594,-111.5148386,2606.808,-16.933
3620,163,,Point,41.87085581,-111.5148367,2608.819,-16.933
3619,162,,Point,41.87081572,-111.5148215,2610.78,-16.933
3618,161,,Point,41.87082161,-111.5148879,2616.624,-16.933
3617,160,,Point,41.8708673,-111.5147744,2605.218,-16.933
3616,159,,Point,41.87086264,-111.514786,2607.734,-16.933
,158,,,41.87086264,-111.514786,2607.734,-16.933
,157,,,41.87086264,-111.514786,2607.734,-16.933
3615,156,,Point,41.8708377,-111.5148087,2609.418,-16.933
3614,155,,Point,41.87082679,-111.5147799,2607.886,-16.933
3613,154,,Point,41.87083102,-111.5147689,2604.178,-16.933
3612,153,,Point,41.87083352,-111.5147879,2600.34,-16.933
3611,152,,Point,41.87081896,-111.5147547,2605.492,-16.933
,151,,,41.87081896,-111.5147547,2605.492,-16.933
3610,150,,Point,41.87081549,-111.5147684,2605.359,-16.933
3609,149,,Point,41.87082001,-111.5146969,2606.017,-16.933
3608,148,,Point,41.87084455,-111.5146772,2602.888,-16.933
,147,,,41.87084455,-111.5146772,2602.888,-16.933
3607,146,,Point,41.87088356,-111.5146902,2606.024,-16.933
3606,145,,Point,41.8708483,-111.5147074,2609.797,-16.933
3605,144,,Point,41.87086076,-111.514738,2606.252,-16.933
,143,,,41.87086076,-111.514738,2606.252,-16.933
3604,142,,Point,41.87088154,-111.5147528,2602.842,-16.933
3603,141,,Point,41.87092572,-111.5147623,2615.316,-16.933
3602,140,,Point,41.87092914,-111.5147534,2612.332,-16.933
3601,139,,Point,41.87090936,-111.5147444,2613.051,-16.933
3600,138,,Point,41.87090956,-111.5147333,2613.767,-16.933
3599,137,,Point,41.87089881,-111.5147228,2612.652,-16.933
3598,136,,Point,41.87087879,-111.5147007,2613.913,-16.933
3597,135,,Point,41.87084406,-111.5147126,2613.297,-16.933
3596,134,,Point,41.87087485,-111.5147033,2603.213,-16.933
3595,133,,Point,41.87087388,-111.5147266,2609.064,-16.933
3594,132,,Point,41.87088424,-111.5147169,2606.554,-16.933
,131,,,41.87088424,-111.5147169,2606.554,-16.933
3593,130,,Point,41.87089169,-111.5147169,2608.136,-16.933
,129,,,41.87089169,-111.5147169,2608.136,-16.933
3592,128,,Point,41.87091402,-111.514707,2609.002,-16.933
3591,127,,Point,41.87093935,-111.5147097,2609.633,-16.933
3590,126,,Point,41.87094452,-111.5146929,2609.245,-16.933
3589,125,,Point,41.87093462,-111.5146827,2607.108,-16.933
3588,124,,Point,41.87092156,-111.51469,2608.21,-16.933
3587,123,,Point,41.87091368,-111.5146873,2608.248,-16.933
3586,122,,Point,41.87091425,-111.5146533,2604.909,-16.933
